=== SUMMARY METRICS ===
metric,directional_accuracy_pct,signal_sensitivity_pct,total_signals,correct_signals,correct_profitable,avg_confidence,avg_net_pnl_thb
gemini,49.38,15.83,241,119,57,0.609,-85.45
groq,66.67,0.2,3,2,2,0.8,729.14
buy_hold,100.0,0.07,1,1,1,1.0,22.76
random,49.46,67.48,1027,508,231,0.499,-19.26
ma_crossover,49.93,100.0,1522,760,409,0.7,-18.92


=== DETAILED SIGNAL LOG ===
timestamp,close_thai,actual_direction,price_change,net_profit_loss,gemini_signal,gemini_confidence,gemini_correct,gemini_profitable,groq_signal,groq_confidence,groq_correct,groq_profitable,buy_hold_signal,buy_hold_confidence,buy_hold_correct,buy_hold_profitable,random_signal,random_confidence,random_correct,random_profitable,ma_crossover_signal,ma_crossover_confidence,ma_crossover_correct,ma_crossover_profitable
2025-12-29 07:00:00,66286.47,UP,55.75999999999476,22.75999999999476,HOLD,0.5,False,False,HOLD,0.5,False,False,BUY,1.0,True,True,HOLD,0.5586659676468654,False,False,SELL,0.7,False,False
2025-12-29 08:00:00,66342.23,UP,300.6999999999971,267.6999999999971,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,BUY,0.5772700845827698,True,True,BUY,0.7,True,True
2025-12-29 09:00:00,66642.93,DOWN,-2.209999999991851,-35.20999999999185,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,HOLD,0.32063832266348397,False,False,BUY,0.7,False,False
2025-12-29 10:00:00,66640.72,UP,46.83999999999651,13.839999999996508,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,HOLD,0.5679669858200156,False,False,BUY,0.7,True,True
2025-12-29 11:00:00,66687.56,DOWN,-106.16000000000349,-139.1600000000035,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,BUY,0.31766617508404005,False,False,BUY,0.7,False,False
2025-12-29 12:00:00,66581.4,DOWN,-273.16999999999825,-306.16999999999825,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,BUY,0.5353055027879724,False,False,BUY,0.7,False,False
2025-12-29 13:00:00,66308.23,UP,115.23000000001048,82.23000000001048,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,HOLD,0.6997413998263339,False,False,BUY,0.7,True,True
2025-12-29 14:00:00,66423.46,DOWN,-122.93000000000757,-155.93000000000757,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,SELL,0.5223226325748719,True,False,BUY,0.7,False,False
2025-12-29 15:00:00,66300.53,UP,257.9799999999959,224.97999999999593,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,HOLD,0.4892840472325333,False,False,SELL,0.7,False,False
2025-12-29 16:00:00,66558.51,DOWN,-177.75,-210.75,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,HOLD,0.425141942602235,False,False,SELL,0.7,True,False
2025-12-29 17:00:00,66380.76,DOWN,-96.67999999999302,-129.67999999999302,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,HOLD,0.34820903151458577,False,False,SELL,0.7,True,False
2025-12-29 18:00:00,66284.08,UP,143.22999999999593,110.22999999999593,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,HOLD,0.5924094685833126,False,False,SELL,0.7,False,False
2025-12-29 19:00:00,66427.31,DOWN,-455.7299999999959,-488.7299999999959,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,BUY,0.37703961111425216,False,False,SELL,0.7,True,False
2025-12-29 20:00:00,65971.58,DOWN,-741.1500000000015,-774.1500000000015,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,HOLD,0.34611280849891374,False,False,SELL,0.7,True,False
2025-12-29 21:00:00,65230.43,DOWN,-457.6100000000006,-490.6100000000006,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,SELL,0.468705063892205,True,False,SELL,0.7,True,False
2025-12-29 22:00:00,64772.82,UP,257.1200000000026,224.12000000000262,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,BUY,0.6181367351836389,True,True,SELL,0.7,False,False
2025-12-29 23:00:00,65029.94,DOWN,-168.49000000000524,-201.49000000000524,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,SELL,0.5980258192480881,True,False,SELL,0.7,True,False
2025-12-30 00:00:00,64861.45,UP,52.7300000000032,19.7300000000032,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,SELL,0.32195304585858997,False,False,SELL,0.7,False,False
2025-12-30 01:00:00,64914.18,UP,54.0,21.0,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,SELL,0.4820574740144624,False,False,SELL,0.7,False,False
2025-12-30 02:00:00,64968.18,UP,23.849999999998545,-9.150000000001455,HOLD,0.5,False,False,HOLD,0.5,False,False,HOLD,1.0,False,False,SELL,0.5089738304284676,False,False,SELL,0.7,False,False
